ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION,GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION,59,-0.625196106,-1.849974603,2.04E-05,0.000418889,0.000310193,2452,"tags=47%, list=17%, signal=40%",1235/347/131450/58494/124976/11151/4478/4345/4739/6693/6278/729230/1893/6364/9466/199/6351/3676/6352/6387/3690/6348/6354/11240/6347/3627/10563/6366
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,55,-0.627310704,-1.846717492,2.14E-05,0.000433398,0.000320937,2315,"tags=42%, list=16%, signal=35%",2294/814/201294/4067/9846/84106/57126/11314/729230/26228/6812/6372/1776/3598/7305/6688/2213/695/8832/3689/3162/2209/3684
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,121,-0.538116607,-1.714557368,2.15E-05,0.000433398,0.000320937,1974,"tags=31%, list=14%, signal=27%",50852/7805/7535/84106/23308/53347/2534/3932/915/387357/5293/5795/917/84174/3123/7070/916/11314/2633/925/3702/50943/3119/919/10666/1236/3937/3115/4068/940/5788/5142/26191/1493/695/79679/11006
GOBP_CHEMOKINE_PRODUCTION,GOBP_CHEMOKINE_PRODUCTION,83,-0.5708858,-1.760419077,2.20E-05,0.000442745,0.000327859,2206,"tags=40%, list=15%, signal=34%",9370/347/727/9173/2865/3570/4023/116/54210/9971/2867/3458/140885/255231/4210/51284/7124/6372/64127/54209/64581/199/1436/7292/84868/8832/3162/1958/3586/3553/7291/11006/3569
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,39,-0.684284666,-1.902500133,2.26E-05,0.000451276,0.000334176,2075,"tags=46%, list=14%, signal=40%",171389/4067/10769/2534/3123/4049/2529/1236/7124/64127/54209/940/2213/3055/695/2209/26279/3586
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,58,-0.629371904,-1.85702081,2.27E-05,0.000452709,0.000335237,2406,"tags=45%, list=16%, signal=38%",4853/10800/171389/4067/10769/2534/3123/4049/2529/9240/923/1236/7124/10125/64127/54209/940/133396/2213/3055/695/2209/26279/3586/2214/3559
GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION,GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION,51,-0.639878021,-1.864298841,2.80E-05,0.000545965,0.000404294,2328,"tags=49%, list=16%, signal=41%",4317/6376/9173/9258/6622/6095/120892/4345/23208/26228/54209/7057/133396/10333/8530/5788/2213/84868/6348/145581/8832/3586/11326/8877/3569
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,202,-0.478513753,-1.5772231,3.09E-05,0.000594609,0.000440316,2903,"tags=36%, list=20%, signal=29%",9398/920/972/10234/652/5457/3204/9370/3696/7071/4853/9290/814/140685/9173/1053/4067/1943/139716/29887/3059/9846/51176/1435/9770/116071/1021/5293/10272/50604/3123/4739/3458/9935/4254/8651/1236/4982/7124/146433/2124/54209/55509/10859/133396/1437/1436/7305/6688/10100/1880/10537/6422/126014/4495/3662/6348/1230/8111/714/11025/2200/4057/135228/6363/56975/3624/7130/1440/11006/4920/4318
GOBP_MATURE_B_CELL_DIFFERENTIATION,GOBP_MATURE_B_CELL_DIFFERENTIATION,34,-0.687709945,-1.868942168,3.20E-05,0.000612391,0.000453484,1835,"tags=53%, list=13%, signal=46%",4242/9452/1015/23228/3956/3561/5450/6688/55619/1880/139818/2213/56833/3586/1378/930/3394/3569
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,26,-0.738526272,-1.893909711,3.44E-05,0.000646451,0.000478705,1971,"tags=58%, list=13%, signal=50%",9180/3572/2865/2867/388125/1236/7124/145741/241/5008/695/2209/5733/3553/3569
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,32,-0.707679514,-1.889822314,3.99E-05,0.000740876,0.000548629,1332,"tags=50%, list=9%, signal=46%",9308/3123/3458/50943/8651/3122/3561/54440/942/114548/3594/7292/301/941/3071/6363
GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION,GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION,38,-0.672537148,-1.862109416,4.42E-05,0.00081905,0.000606517,2075,"tags=50%, list=14%, signal=43%",171389/9173/7805/9971/3123/50943/64127/10859/6504/2621/558/7292/84868/3586/29126/1378/3624/80380/11006
GOBP_INTERLEUKIN_12_PRODUCTION,GOBP_INTERLEUKIN_12_PRODUCTION,60,-0.597475054,-1.767164022,4.46E-05,0.000821145,0.000608068,1814,"tags=37%, list=12%, signal=32%",3670/7805/409/3620/3458/4050/54/4210/1236/64127/7057/10859/6504/64581/201633/1240/7292/3586/51311/3394/353514/6363
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,107,-0.542548681,-1.715093464,4.56E-05,0.000834955,0.000618295,3493,"tags=47%, list=24%, signal=36%",6891/3107/5873/3106/23180/115827/5971/3135/80329/972/3108/913/912/6890/909/911/910/154064/3111/3127/9363/3123/6556/50856/3120/7454/925/10875/3113/3119/3122/1236/10437/4277/64127/3115/54209/7057/3109/3112/2213/3118/2207/2209/3117/57705/30835/6363/10288/6366
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,43,-0.664608806,-1.876165585,4.60E-05,0.000839415,0.000621597,2971,"tags=60%, list=20%, signal=48%",4681/22914/1843/100/3204/2841/347/131450/727/134/56477/4345/11314/26228/9466/6387/56833/3162/11240/11117/6347/9353/7130/6366/1803/26585
GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,57,-0.622631759,-1.833334982,4.63E-05,0.000841839,0.000623392,1974,"tags=49%, list=14%, signal=43%",10892/123920/100/3958/5579/50852/4067/7805/53347/3932/5795/84174/23228/7070/11314/2633/26228/10666/1236/4068/115352/150372/5788/26191/2213/933/930/11006
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,18,-0.786081161,-1.864715317,4.80E-05,0.000865378,0.000640823,1145,"tags=50%, list=8%, signal=46%",6278/729230/199/6352/6387/2358/1230/7941/3627
GOBP_NATURAL_KILLER_CELL_ACTIVATION,GOBP_NATURAL_KILLER_CELL_ACTIVATION,74,-0.588101047,-1.784433071,4.85E-05,0.000872358,0.000645992,3413,"tags=50%, list=23%, signal=39%",3593/353376/3592/5873/3717/3821/114770/22914/257101/80329/3823/3601/3822/57823/8809/201294/639/4783/11151/259197/5293/914/4818/3824/10125/3560/6504/2621/51744/7305/558/5788/9760/26191/84868/2214/50615
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS,GOBP_LEUKOCYTE_APOPTOTIC_PROCESS,110,-0.530729492,-1.679779479,5.24E-05,0.000934525,0.000692027,2834,"tags=38%, list=19%, signal=31%",972/652/100/596/80301/8660/3958/3718/171558/9212/5585/5588/4067/3059/356/5293/917/3620/6480/939/4254/1236/64127/79444/440823/10859/5133/2621/558/6352/6387/5027/301/695/3586/29126/6363/3575/3559/1029/3569/6366
GOBP_RESPONSE_TO_FUNGUS,GOBP_RESPONSE_TO_FUNGUS,40,-0.664239856,-1.857064198,5.43E-05,0.000966182,0.00071547,1869,"tags=45%, list=13%, signal=39%",4353/6279/338339/50856/1113/5919/84659/10578/5806/64581/1511/6688/81030/5322/10417/26253/695/4057
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,69,-0.582642065,-1.751373886,7.09E-05,0.001229847,0.000910718,2039,"tags=39%, list=14%, signal=34%",5588/9308/7535/64926/3123/3458/916/729230/50943/8651/3122/3561/940/10148/54440/864/942/114548/3594/5788/7292/26191/301/941/3071/6363/11006
GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,28,-0.711917051,-1.865593274,7.42E-05,0.001277732,0.000946177,2515,"tags=64%, list=17%, signal=53%",3718/10865/8809/9173/246778/30009/3554/6556/729230/6504/9466/3594/7292/301/84868/941/3553/6363
GOBP_CHRONIC_INFLAMMATORY_RESPONSE,GOBP_CHRONIC_INFLAMMATORY_RESPONSE,19,-0.779508584,-1.880992135,8.02E-05,0.001377076,0.001019742,2209,"tags=74%, list=15%, signal=63%",201294/6279/3620/4049/7128/50943/7124/7057/7412/6352/8876/3586/6356/10563
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,27,-0.708953759,-1.845133116,8.43E-05,0.001421779,0.001052845,1809,"tags=56%, list=12%, signal=49%",7805/9971/30009/9455/2633/7128/50943/64127/89795/5788/84868/3902/1378/11326/11006
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,41,-0.658712329,-1.846725384,8.56E-05,0.001435489,0.001062998,2538,"tags=61%, list=17%, signal=51%",1604/9156/1379/79987/710/727/3426/725/2208/717/4049/7124/730/64127/54209/720/5788/2213/715/712/714/713/1378/1380/716
GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,85,-0.563256849,-1.737705096,8.54E-05,0.001435489,0.001062998,2834,"tags=45%, list=19%, signal=36%",4208/972/652/100/596/8660/3958/3718/171558/9212/5588/4067/3059/5293/917/3620/6480/939/4254/1236/64127/79444/440823/10859/5133/2621/558/6352/6387/5027/301/695/3586/29126/6363/3575/1029/6366
GOBP_INTERLEUKIN_10_PRODUCTION,GOBP_INTERLEUKIN_10_PRODUCTION,55,-0.610629586,-1.797610546,8.66E-05,0.001443189,0.0010687,1400,"tags=38%, list=10%, signal=35%",3620/3123/50943/64127/54209/940/10859/64581/54440/201633/7305/7292/2213/3662/695/29126/3082/353514/80380/11006/3569
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,41,-0.658320423,-1.845626659,8.84E-05,0.001456816,0.001078791,2812,"tags=59%, list=19%, signal=47%",197358/5004/91662/6376/131450/9971/409/4345/23208/140885/7128/50943/408/7124/6504/2621/9466/26191/84868/8832/3071/3586/3082/11006
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,141,-0.501940573,-1.614595338,8.96E-05,0.001471707,0.001089818,2562,"tags=35%, list=18%, signal=29%",3170/3848/2155/6915/710/7852/150/2303/51330/10019/5627/6696/5329/5156/64094/5345/10979/59/2247/5592/2316/7128/146760/2149/1906/2048/7124/5328/7057/64581/2152/10855/114897/4638/301/89790/4921/857/5055/5270/11117/1365/3586/348/11202/135228/7448/5764/2191
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION,GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION,33,-0.674486661,-1.820718267,9.64E-05,0.00156121,0.001156096,1175,"tags=39%, list=8%, signal=36%",259307/939/3561/6688/115352/150372/6422/56833/695/3071/3586/1378/3624
GOBP_DEFENSE_RESPONSE_TO_FUNGUS,GOBP_DEFENSE_RESPONSE_TO_FUNGUS,31,-0.694152051,-1.854525855,0.000100642,0.001615817,0.001196533,1869,"tags=52%, list=13%, signal=45%",4353/6279/338339/50856/1113/5919/84659/10578/64581/1511/6688/81030/5322/10417/26253/4057
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,29,-0.700624654,-1.841432816,0.000103377,0.001654364,0.001225078,2895,"tags=62%, list=20%, signal=50%",1992/335/91662/6376/9971/409/199713/7128/54/4210/54209/2621/945/114548/7850/3586/3479/11006
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION,GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION,40,-0.653377937,-1.826696731,0.00010921,0.001733211,0.001283465,1977,"tags=45%, list=14%, signal=39%",58494/11151/4739/6693/6278/729230/6364/199/6351/3676/6352/6387/3690/6348/6354/3627/10563/6366
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION,GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION,16,-0.786317723,-1.824809807,0.000109352,0.001733211,0.001283465,1776,"tags=62%, list=12%, signal=55%",11151/4478/4739/923/1236/5551/84868/1794/6363/6366
